date,BTC,BTC-USD.Adjusted,ETH,ETH-USD.Adjusted,BNB,BNB-USD.Adjusted,XRP,XRP-USD.Adjusted,ADA,ADA-USD.Adjusted,MATIC,MATIC-USD.Adjusted,DOGE,DOGE-USD.Adjusted,BUSD,BUSD-USD.Adjusted,USDT,USDT-USD.Adjusted,USDC,USDC-USD.Adjusted,FTT,FTT-USD.Adjusted,GSPC,GSPC.Adjusted,VIX,VIX.Adjusted,RUT,RUT.Adjusted,CL,CL=F.Adjusted,GC,GC=F.Adjusted,SI,SI=F.Adjusted,EUR,EURUSD=X.Adjusted,GBP,GBPUSD=X.Adjusted,RUB,RUB=X.Adjusted,JPY,JPY=X.Adjusted,BRL,BRL=X.Adjusted,INR,INR=X.Adjusted
41641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008861913,1831.97998,0.037172012,14.23,-0.011103128,1150.719971,-0.030278359,95.440002,0.019219549,1225,0.039247063,20.098,0.001583127,1.376671,0.001011231,1.658072,0.000697606,32.706001,0.000227863,105.323997,-0.000890132,2.3571,0.00059866,61.84
41642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000332965,1831.369995,-0.033028812,13.76,0.004666639,1156.089966,-0.015507156,93.959999,0.010938795,1238.400024,0.004179471,20.181999,-0.007270437,1.366662,-0.008009905,1.644791,0.011899926,33.0952,-0.004661777,104.833,0.011709304,2.3847,0.003557584,62.060001
41645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002511767,1826.77002,-0.015261628,13.55,-0.007724254,1147.160034,-0.005640688,93.43,-0.000484476,1237.800049,-0.005202607,20.077,-0.005166603,1.359601,-0.002116986,1.641309,0.002109097,33.165001,0.000753608,104.912003,-0.005535287,2.3715,0.002739268,62.23
41646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006081764,1837.880005,-0.046494465,12.92,0.009126862,1157.630005,0.002568747,93.669998,-0.006786254,1229.400024,-0.01554022,19.764999,0.002644158,1.363196,0.000295496,1.641794,-0.00065735,33.1432,-0.00669136,104.209999,0.000927683,2.3737,0.00128557,62.310001
41647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000212209,1837.48999,-0.003869969,12.87,-0.00014689,1157.459961,-0.014305498,92.330002,-0.00333494,1225.300049,-0.012496788,19.518,-0.001143636,1.361637,-0.001082962,1.640016,-0.001206914,33.103199,0.004817186,104.711998,-0.002106416,2.3687,-0.003691205,62.080002
41648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000348309,1838.130005,0.001554002,12.89,0.000768938,1158.349976,-0.007256558,91.660004,0.003264507,1229.300049,0.00742904,19.663,-0.003257109,1.357202,0.002862167,1.64471,-0.000468202,33.0877,0.001260639,104.844002,0.009836619,2.392,0.000644282,62.119999
41649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002306687,1842.369995,-0.058184639,12.14,0.005335221,1164.530029,0.011564444,92.720001,0.014154317,1246.699951,0.027361033,20.201,0.002585466,1.360711,0.001944416,1.647908,0.001819407,33.1479,-0.000133532,104.830002,-0.001672241,2.388,-0.005473278,61.779999
41652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012576217,1819.199951,0.093904448,13.28,-0.014117337,1148.089966,-0.009922325,91.800003,0.003368953,1250.900024,0.0079204,20.361,0.004757807,1.367185,0.000923595,1.64943,-0.004838949,32.987499,-0.00840413,103.948997,-0.014447236,2.3535,-0.005503399,61.439999
41653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010817972,1838.880005,-0.075301205,12.28,0.013361399,1163.430054,0.008605588,92.589996,-0.004556777,1245.199951,-0.005402534,20.250999,-0.000136777,1.366998,-0.006326428,1.638995,0.007627192,33.239101,-0.008013545,103.115997,0.001402167,2.3568,0.000488314,61.470001
41654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005166188,1848.380005,0,12.28,0.00680739,1171.349976,0.0170645,94.169998,-0.005701875,1238.099976,-0.007308183,20.103001,-0.000109729,1.366848,0.002694944,1.643412,0.001540264,33.290298,0.010308818,104.179001,-0.002206382,2.3516,0,61.470001
